student_id,school_id,class_id,amount,payment_date,payment_type,note
1019,1,14,"6,000",2025-01-01,Online,Partial payment
1019,1,14,"5,000",2025-01-01,Cash,Partial payment
1020,1,14,"5,000",2025-01-01,Online,Partial payment
1020,1,14,"8,000",2025-01-01,Online,Partial payment
1020,1,14,"3,000",2025-01-01,Cash,Partial payment
1021,1,14,"5,000",2025-01-01,Online,Partial payment
1021,1,14,"5,000",2025-01-01,Cash,Partial payment
1021,1,14,"8,000",2025-01-01,Online,Partial payment
1022,1,14,"3,000",2025-01-01,Online,Partial payment
1022,1,14,"5,000",2025-01-01,Online,Partial payment
1022,1,14,"8,000",2025-01-01,Cash,Partial payment
1023,1,14,"3,000",2025-01-01,Cash,Partial payment
1024,1,14,"1,000",2025-01-01,Cash,Partial payment
1025,1,14,"5,000",2025-01-01,Online,Partial payment
1025,1,14,"1,000",2025-01-01,Cash,Partial payment
1025,1,14,"5,000",2025-01-01,Cash,Partial payment
1026,1,14,"10,000",2025-01-01,Online,Partial payment
1026,1,14,"2,000",2025-01-01,Cash,Partial payment
1026,1,14,"5,000",2025-01-01,Cash,Partial payment
1027,1,14,"10,000",2025-01-01,Online,Partial payment
1027,1,14,"2,000",2025-01-01,Cash,Partial payment
1027,1,14,"5,000",2025-01-01,Cash,Partial payment
1043,1,14,"3,000",2025-01-01,Cash,Partial payment
1043,1,14,"5,000",2025-01-01,Cash,Partial payment
1043,1,14,"10,000",2025-01-01,Cash,Partial payment
1028,1,14,"7,000",2025-01-01,Online,Partial payment
1028,1,14,"3,000",2025-01-01,Cash,Partial payment
1028,1,14,"7,000",2025-01-01,Cash,Partial payment
1029,1,14,"7,000",2025-01-01,Online,Partial payment
1029,1,14,"2,000",2025-01-01,Cash,Partial payment
1029,1,14,"7,000",2025-01-01,Cash,Partial payment
1030,1,14,"2,000",2025-01-01,Online,Partial payment
1030,1,14,"1,000",2025-01-01,Cash,Partial payment
1030,1,14,"5,000",2025-01-01,Cash,Partial payment
1030,1,14,"8,000",2025-01-01,Cash,Partial payment
1031,1,14,"2,000",2025-01-01,Cash,Partial payment
1036,1,14,"3,000",2025-01-01,Online,Partial payment
1036,1,14,"1,500",2025-01-01,Online,Partial payment
1036,1,14,"6,000",2025-01-01,Online,Partial payment
1036,1,14,"4,500",2025-01-01,Cash,Partial payment
1036,1,14,"3,000",2025-01-01,Cash,Partial payment
1037,1,14,"6,500",2025-01-01,Online,Partial payment
1038,1,14,"3,000",2025-01-01,Online,Partial payment
1038,1,14,"5,000",2025-01-01,Online,Partial payment
1038,1,14,"5,000",2025-01-01,Online,Partial payment
1039,1,14,"3,000",2025-01-01,Online,Partial payment
1039,1,14,"10,000",2025-01-01,Online,Partial payment
1040,1,14,"4,500",2025-01-01,Online,Partial payment
1040,1,14,"2,000",2025-01-01,Online,Partial payment
1040,1,14,"3,000",2025-01-01,Cash,Partial payment
1040,1,14,"5,000",2025-01-01,Cash,Partial payment
1041,1,14,"9,000",2025-01-01,Online,Partial payment
1042,1,14,"7,000",2025-01-01,Cash,Partial payment
1044,1,14,"6,000",2025-01-01,Online,Partial payment
1044,1,14,"4,000",2025-01-01,Online,Partial payment
1044,1,14,"1,000",2025-01-01,Cash,Partial payment
1045,1,14,"5,000",2025-01-01,Cash,Partial payment
1046,1,14,"5,000",2025-01-01,Online,Partial payment
1046,1,14,"2,000",2025-01-01,Cash,Partial payment
1046,1,14,"5,000",2025-01-01,Cash,Partial payment
1047,1,14,"13,000",2025-01-01,Online,Partial payment
1047,1,14,"3,000",2025-01-01,Cash,Partial payment
1048,1,14,"3,000",2025-01-01,Cash,Partial payment
1049,1,14,"6,050",2025-01-01,Online,Partial payment
1050,1,14,"3,000",2025-01-01,Online,Partial payment
1050,1,14,"2,000",2025-01-01,Cash,Partial payment
1050,1,14,"2,000",2025-01-01,Cash,Partial payment
1050,1,14,"4,000",2025-01-01,Cash,Partial payment
1050,1,14,"4,000",2025-01-01,Cash,Partial payment
1051,1,14,"5,000",2025-01-01,Cash,Partial payment
1052,1,14,"2,000",2025-01-01,Online,Partial payment
1052,1,14,"2,000",2025-01-01,Cash,Partial payment
1052,1,14,"4,000",2025-01-01,Cash,Partial payment
1052,1,14,"10,000",2025-01-01,Cash,Partial payment
1053,1,14,"5,000",2025-01-01,Cash,Partial payment
1054,1,14,"2,000",2025-01-01,Cash,Partial payment
1055,1,14,"5,500",2025-01-01,Online,Partial payment
1055,1,14,"2,000",2025-01-01,Cash,Partial payment
1056,1,14,"8,000",2025-01-01,Online,Partial payment
1057,1,14,"2,000",2025-01-01,Online,Partial payment
1057,1,14,"3,000",2025-01-01,Online,Partial payment
1058,1,14,"1,000",2025-01-01,Online,Partial payment
1058,1,14,"1,000",2025-01-01,Cash,Partial payment
1059,1,14,500,2025-01-01,Online,Partial payment
1059,1,14,"1,500",2025-01-01,Cash,Partial payment
1060,1,14,"3,000",2025-01-01,Online,Partial payment
1061,1,14,"2,000",2025-01-01,Online,Partial payment
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
